Date;AAD;AAJ;AAR;ADA;AIO;ASC;AWY;BAS;BFE;BHU;BLI;BRO;BSI;CFE;CHO;CIR;CJO;CRO;DDA;DGR;DHE;DKA;DMA;DMO;DOB;DST;DTE;DWA;FRU;FSC;GAL;GRO;GTR;GWA;HAS;HEM;HKE;HMA;HSC;IHU;IKO;ISP;IWI;JBUE;JDE;JEI;JGA;JMO;JRA;JRE;KFI;KST;KWI;LBO;LBU;LIS;LMA;LMUE;LOR;LRU;LSO;MBO;MBR;MCR;MDA;MFA;MGI;MHE;MLA;MMA;MMO;MPL;MSC;MVA;NAC;NBA;NGR;NKA;NNA;NRA;OMO;PBA;PFA;PGM;PMU;PNI;PSA;PSC;RAF;RBL;RBUE;RFR;RGA;RIS;RSC;RTH;SBI;SBL;SFO;SFR;SJA;SKO;SNE;SOL;SPO;SRA;SST;STE;STH;SZO;TBU;TFE;TSC;UWY;VDO;VNA;VRA;VSC;VTS;WJU;YBE;YHU;YKR;YLI
04.12.25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;$;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;m;11;1;mu;1;1;1;1;x;1;1;1;1;1;0.5/x;1;1;1;1;1;1;h;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
05.12.25;1;h;1;x;1;1;1;x;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;x;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;x;1;1;$;1;1;1;1;1;1;1;1;1;x;1;1;1;x;1;1;1;1;1;1;1;1;1;x;1;1;1;m;11;1;mu;x;h/0.5;1;1;x;1;x;1;1;1;1;1;1;1;x;1;1;h;1;0.5/x;1;1;1;1;1;1;1;1;x;0.5/x;1;1;1;1;1
08.12.25;1;h;x;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;h;1;1;1;1;x;x;1;1;1;1;1;$;1;1;1;1;1;1;1;x;1;x;1;1;1;1;1;1;1;1;1;x;1;1;1;0.5/x;1;1;1;m;11;x;mu;1;1;1;1;x/0.5;1;x;1;1;1;1;1;1;1;h;1;1;h;1;0.5/x;1;1;1;1;x;1;0.5/x;1;1;h;1;h;1;1;1
09.12.25;1;h;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;$;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;x/0.5;1;1;1;1;1;1;1;m;11;1;mu;1;1;1;1;x;1;1;1;1;1;0.5/x;1;1;1;h;1;1;h;1;0.5/x;1;1;1;1;x;1;0.5/x;1;1;1;1;1;1;1;1
10.12.25;1;c;1;1;1;1;1;1;1;0.5/x;1;1;1;1;x;1;c/x;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;x;1;1;1;1;$;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;0.5/x;1;1;1;m;11;1;mu;1;1;x/0.5;1;x/0.5;1;1;1;1;1;1;1;1;1;h;1;1;h;1;0.5/x;1;1;1;1;1;1;0.5/x;1;1;0.5/x;x;1;1;1;1
11.12.25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;$;1;1;1;1;1;1;1;1;1;x;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;m;11;1;mu;1;1;1;1;x;1;1;1;1;1;0.5/x;1;1;1;h;1;1;h;1;0.5/x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12.12.25;1;1;1;x;1;1;1;x;1;0.5/x;1;1;1;1;x;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;x;1;x;1;1;1;1;1;1;1;1;h;1;1;1;0.5/x;1;1;1;1;x;1;1;$;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;x;1;1;1;x;1;1;1;1;1;x;1;1;1;m;11;1;mu;x;h/0.5;1;1;x;1;x;1;1;1;1;1;1;1;x;1;1;h;1;0.5/x;1;1;1;1;1;1;1;1;x;0.5/x;1;1;1;1;1
15.12.25;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;x;1;1;h;1;1;1;1;x;x;1;1;1;1;1;$;1;1;1;1;1;1;1;x;1;x;h;1;1;1;1;1;1;1;1;x;1;1;1;0.5/x;1;1;1;m;11;x;mu;1;1;1;1;x/0.5;1;x;1;1;1;1;1;1;1;1;1;1;h;1;0.5/x;1;1;1;1;x;x;0.5/x;1;1;1;1;1;1;1;1
16.12.25;1;1;1;1;1;1;1;x;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;$;1;1;1;1;1;1;1;1;1;1;h;1;1;0.5/x;1;1;1;1;1;x/0.5;1;1;1;1;1;1;1;m;11;1;mu;1;1;1;1;x;1;1;1;1;1;0.5/x;1;1;1;1;1;1;h;1;0.5/x;1;1;1;1;1;1;0.5/x;1;1;1;1;1;1;1;1
17.12.25;1;1;1;1;1;1;1;1;1;0.5/x;1;1;1;1;x;1;c/x;1;1;h;1;x;1;1;1;h;1;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;h;1;1;1;1;1;1;x;1;1;1;1;$;1;1;1;1;1;1;1;1;1;1;h;1;1;1;1;1;1;1;1;0.5/x;1;1;1;0.5/x;1;1;1;m;11;1;mu;1;1;x/0.5;1;x/0.5;1;1;1;1;1;1;1;1;1;1;1;1;h;1;0.5/x;1;1;1;1;1;1;0.5/x;1;1;0.5/x;x;1;1;1;1
